youdescribe_link,audio_clip_file_path,audio_clip_file_name,audio_clip_duration,audio_clip_start_time,audio_clip_end_time,audio_clip_playback_type,db_transcript,oa_transcript_sentence,bleu_score,cosine_similarity
https://youdescribe.org/video/6qmPNBl2e2U?ad=58e7cf2e46e13dfd851a225e,/legacy,14231737922841.wav,8.44,8219.358,8219.358,extended," Photos of domer russa, vladimir put on moody and z from Brazil, Russia, India, China,"," Photos of Dilma Rousseff, Vladimir Putin, Modi, and Xi from Brazil, Russia, India, China.",0.6409999999999999,0.47700000000000004
https://youdescribe.org/video/pQJ45H-TJgo?ad=5cbe1ffbe9b2de249a6f282c,/current/pQJ45H-TJgo,pQJ45H-TJgo_5cc3baba1dcc0c08bd68b29d.wav,2.694,1045.53404,1048.227554739229,inline, Ronnie begins un dressing., Ronnie begins undressing.,0.9,0.41100000000000003
https://youdescribe.org/video/7vJ8jBqzVqU?ad=5f6cc60caa38d665301f354c,/current/7vJ8jBqzVqU,7vJ8jBqzVqU_5f6cd030152f97652a3be64b.wav,13.227,293.720533,293.720533,extended,remove the cover of the second quadrant in the second quadrant of not so good and a not changing it says down side of the status quo question markremove the cover of the second quadrant in the second quadrant of not so good and a not changing it says down side of the status quo question mark," Remove the cover of the second quadrant. In the second quadrant of not so good and not changing, it says downside of the status quo?",0.275,0.9129999999999999
https://youdescribe.org/video/Mn5jZJfIhP4?ad=6050beddaad36831fd7e7065,/current/Mn5jZJfIhP4,Mn5jZJfIhP4_6050c31e80c96d31ff1199f8.wav,2.048,104.490751,104.490751,extended,day, Dang.,0.040999999999999995,0.0
https://youdescribe.org/video/Mn5jZJfIhP4?ad=6050beddaad36831fd7e7065,/current/Mn5jZJfIhP4,Mn5jZJfIhP4_6050c337aad36831fd7e706c.wav,1.7919999999999998,109.362683,109.362683,extended,week, weak,0.126,0.0
https://youdescribe.org/video/Mn5jZJfIhP4?ad=6050beddaad36831fd7e7065,/current/Mn5jZJfIhP4,Mn5jZJfIhP4_6050c3a680c96d31ff1199fb.wav,2.048,131.154986,131.154986,extended,was, was.,0.266,1.0
https://youdescribe.org/video/T8NJLxTIEO0?ad=58e7cf2b46e13dfd851a20d6,/legacy,1380677249270.wav,10.23,91.67200000000001,91.67200000000001,extended," Call area eight hundred 2724558, or visit us online at braille institute dot org.", Call area 800-272-4558 or visit us online at brailleinstitute.org.,0.632,0.45
https://youdescribe.org/video/WhihVLZrvRQ?ad=61ad3c37f5a44c090b46fc49,/current/WhihVLZrvRQ,WhihVLZrvRQ_61ad408fddd6a209053b3bcd.wav,1.8769999999999998,136.942483,136.942483,extended,Marlin and coral feed their babies, Marlin and Coral see their baby egg.,0.627,0.45
https://youdescribe.org/video/WhihVLZrvRQ?ad=61ad3c37f5a44c090b46fc49,/current/WhihVLZrvRQ,WhihVLZrvRQ_61ad4125ddd6a209053b3bcf.wav,3.84,212.21686499999998,212.21686499999998,extended,Coral seas are eggs and ignoring Marlins warnings rushes to, Coral sees her eggs and ignoring Marlin's warnings rushes to protect them.,0.674,0.474
https://youdescribe.org/video/8M0lFiO0M68?ad=58e7cf2b46e13dfd851a20e9,/legacy,1388107193741.wav,3.8360000000000003,101.302,101.302,extended," Ann higgs, drum teachers at earl mmm community school.", Ann Higstrom teaches at Earlham Community School.,0.522,0.341
https://youdescribe.org/video/8M0lFiO0M68?ad=58e7cf2b46e13dfd851a20e9,/legacy,1388107594135.wav,4.859,214.77,214.77,extended, Allen argento see is a reading teacher at earl and community school., Alana Gentose is a reading teacher at Earlham Community School.,0.638,0.436
https://youdescribe.org/video/8M0lFiO0M68?ad=58e7cf2b46e13dfd851a20e9,/legacy,1388107760975.wav,5.115,239.602,239.602,extended, That was denny's been a para educator at earl and community school.," That was Denise Bean, a paraeducator at Earlham Community School.",0.598,0.33899999999999997
https://youdescribe.org/video/MXV65i9g1Xg?ad=60032735ce0a842f6990bfac,/current/MXV65i9g1Xg,MXV65i9g1Xg_60032735ce0a842f6990bfab.wav,2.3040000000000003,72.903596,72.903596,extended,a graph as a coordinate plane as shown, The graph of the coordinate plane is shown.,0.647,0.29100000000000004
https://youdescribe.org/video/MXV65i9g1Xg?ad=60032735ce0a842f6990bfac,/current/MXV65i9g1Xg,MXV65i9g1Xg_6003283369f2192f639024c6.wav,1.621,206.466433,206.466433,extended,a man on a skink, And then on a ski hill.,0.392,0.151
https://youdescribe.org/video/X2niZRgGZ7E?ad=5e9de5baafba3146aec3f5af,/current/X2niZRgGZ7E,X2niZRgGZ7E_5e9de986afba3146aec3f5ba.wav,2.415,245.654453,245.654453,extended,Denny's spikes through an iPad, Danny swipes through an iPad.,0.67,0.43200000000000005
https://youdescribe.org/video/fGnEOBjjTQQ?ad=6177f197f1539c07e70d944f,/current/fGnEOBjjTQQ,fGnEOBjjTQQ_6177f2a53b2e2707ed89e1ff.wav,4.551,97.03470833333333,97.03470833333333,extended,jacked up baby Ray appears on screen in the same location, Jack.B reappears on screen in the same location.,0.691,0.47700000000000004
https://youdescribe.org/video/fGnEOBjjTQQ?ad=6177f197f1539c07e70d944f,/current/fGnEOBjjTQQ,fGnEOBjjTQQ_6177f3d0f1539c07e70d945e.wav,9.474,134.06466666666665,134.06466666666665,extended,an animated image shows one character pushing over another character as another character is knelt down towards the groundan animated image shows one character pushing over another character as another character is knelt down towards the ground," An animated image shows one character pushing over another character, as another character is knelt down towards the ground.",0.369,0.981
https://youdescribe.org/video/fGnEOBjjTQQ?ad=6177f197f1539c07e70d944f,/current/fGnEOBjjTQQ,fGnEOBjjTQQ_6177f47df1539c07e70d9462.wav,5.7589999999999995,163.79674999999997,163.79674999999997,extended,end credits begin titled stop the false stereotypesend credits begin titled stop the false stereotypes, credits begin titled stop the false stereotypes,0.325,0.9129999999999999
https://youdescribe.org/video/2A81pASpngI?ad=5ea6eb364c8fed2f0ed8581b,/current/2A81pASpngI,2A81pASpngI_5f1b16532dc02b4b954f5fd0.wav,1.7919999999999998,353.1537720591278,354.9457720591277,inline,stem, STEM.,0.0,1.0
https://youdescribe.org/video/2A81pASpngI?ad=5ea6eb364c8fed2f0ed8581b,/current/2A81pASpngI,2A81pASpngI_5ea6eba54c8fed2f0ed8581d.wav,2.475,579.8245349427796,582.2992016094463,inline,CS you influences, CSU influences.,0.667,0.261
https://youdescribe.org/video/fAr-ZYq4RmU?ad=5b5fa70252bc021504b41321,/current/fAr-ZYq4RmU,fAr-ZYq4RmU_5b5fa8d464badc79e2b1b2d8.wav,5.666,148.268554,148.268554,extended, Patrick pox to sponge Bob and mister crabs from the show. Sponge Bob square pants., Patrick talks to Spongebob and Mr. Krabs from the show Spongebob Squarepants.,0.621,0.228
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc3643856b7f3071f3060a8.wav,2.229,241.06339599999998,243.2925116462585,inline," Gladys, by the men's bathroom.", Do I just buy the men's bathroom?,0.603,0.381
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc3651156b7f3071f3060aa.wav,1.486,291.28599199999996,292.77206909750566,inline, Episode PAD., Episode cut.,0.665,0.336
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc365611dcc0c08bd68b26a.wav,1.393,323.315983,324.7091802789116,inline, Either said pat., episode cut,0.019,0.0
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc3662656b7f3071f3060ac.wav,1.207,394.253977,395.4614146417234,inline, Episode pen., Episode cut.,0.665,0.336
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc3669656b7f3071f3060ad.wav,1.672,435.423946,437.0957827346939,inline, Michael silence is Kevin., Michael silences Kevin.,0.855,0.41100000000000003
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc367a81dcc0c08bd68b26f.wav,1.393,443.6389,445.0320972789115,inline, Episode PAD., Episode cut.,0.665,0.336
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc3687556b7f3071f3060b0.wav,2.786,445.276157,448.06255155782316,inline, Michael enjoyed entered the Christmas tree., Michael and Dwight enter with the Christmas tree.,0.639,0.41100000000000003
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc368b256b7f3071f3060b2.wav,1.393,488.580477,489.9736742789115,inline, That's okay., Episode cut.,0.024,0.0
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc3692e56b7f3071f3060b4.wav,1.022,548.413113,549.4347910045351,inline, Represent pet., Episode cut.,0.039,0.0
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc369f91dcc0c08bd68b273.wav,1.115,714.597303,715.7118608231293,inline, Episode bad., Episode cut.,0.665,0.336
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc36af21dcc0c08bd68b274.wav,1.115,791.548263,792.6628208231293,inline, Episode pet., episode cut,0.519,0.336
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc36b9e1dcc0c08bd68b277.wav,1.022,846.301567,847.323245004535,inline, Ever so k., I was okay.,0.027999999999999997,0.0
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc36c401dcc0c08bd68b279.wav,1.115,947.658415,948.7729728231293,inline, Episode pat., Episode cut.,0.7020000000000001,0.336
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc36d7956b7f3071f3060be.wav,1.765,1051.905794,1053.670510553288,inline, Ever said current., I was okay.,0.015,0.0
https://youdescribe.org/video/przbtkPcMTM?ad=5cc35f0956b7f3071f3060a0,/current/przbtkPcMTM,przbtkPcMTM_5cc36f4f56b7f3071f3060c2.wav,1.3,1220.298931,1221.5992484603175,inline, Other so cut., episode cut.,0.32799999999999996,0.261
https://youdescribe.org/video/8j3NmTv9AWg?ad=5eab1537e1b8b12f0893d892,/current/8j3NmTv9AWg,8j3NmTv9AWg_5eab1adf4c8fed2f0ed858c8.wav,2.3040000000000003,205.069151,207.373151,inline,grapefruit losses, Grapefruit loses.,0.765,0.336
https://youdescribe.org/video/1IamB4Pv55s?ad=605236c280c96d31ff119b32,/current/1IamB4Pv55s,1IamB4Pv55s_6053ae2a80c96d31ff119cb8.wav,3.158,229.4933333333333,232.65124716553288,inline,Max plopsa Zeal on the grass, Max plops his eel on the grass.,0.6659999999999999,0.45
https://youdescribe.org/video/-8qvGAWiPQY?ad=58e7cf2b46e13dfd851a20de,/legacy,-8qvGAWiPQY-88-1-0-35-0.wav,7.417000000000001,35.0,35.0,extended," Yummy ah auto center says anti says or joe santo says anti size or gent, I know ever nor went I cinco.", Call 866-866-8995.,0.0,0.0
https://youdescribe.org/video/8o4gkDXbvFc?ad=6354e39144d9f31eaf8e2c77,/current/8o4gkDXbvFc,8o4gkDXbvFc_6355071844d9f31eaf8e2c82.wav,5.888,96.431675,96.431675,extended,image of a go fly a sneaker it's being shown, An image of a gold fly is sneaker is being shown.,0.716,0.45
https://youdescribe.org/video/PvYhZT99g1s?ad=617904e2f1539c07e70d94c0,/current/PvYhZT99g1s,PvYhZT99g1s_617907093b2e2707ed89e270.wav,2.475,70.194138,70.194138,extended,Iron Man's arc reactors glow, Iron Man's arc reactor is glowing.,0.7440000000000001,0.381
https://youdescribe.org/video/lsm9qgEHdIg?ad=633f543d934e8a1ea9f83320,/current/lsm9qgEHdIg,lsm9qgEHdIg_633f543f934e8a1ea9f83322.wav,15.232000000000001,30.87989909346008,46.11218934289319,inline,riddle one the more you take away the larger I become what am I the more you take away the larger I become what am I," Riddle 1. The more you take away, the larger I become. What am I?",0.359,0.971
https://youdescribe.org/video/lsm9qgEHdIg?ad=633f543d934e8a1ea9f83320,/current/lsm9qgEHdIg,lsm9qgEHdIg_633f5452934e8a1ea9f83323.wav,8.452,51.64860808583069,60.10067157789418,inline,answer a whole," Answer, a hole.",0.45899999999999996,0.336
https://youdescribe.org/video/lsm9qgEHdIg?ad=633f543d934e8a1ea9f83320,/current/lsm9qgEHdIg,lsm9qgEHdIg_633f54a544d9f31eaf8e26ce.wav,3.8080000000000003,117.79912990463257,121.60720246699086,inline,answer sauce / combanswer sauce / comb, Answer is Sol slash Cone.,0.155,0.09300000000000001
https://youdescribe.org/video/lsm9qgEHdIg?ad=633f543d934e8a1ea9f83320,/current/lsm9qgEHdIg,lsm9qgEHdIg_633f556c934e8a1ea9f83328.wav,6.223,156.15846899809264,162.38141684389763,inline,riddle five what is something you will never see again what is something you will never see again, Riddle 5. What is something you will never see again?,0.382,0.958
https://youdescribe.org/video/lsm9qgEHdIg?ad=633f543d934e8a1ea9f83320,/current/lsm9qgEHdIg,lsm9qgEHdIg_633f596544d9f31eaf8e26dc.wav,2.229,257.17234592752084,259.4014615737793,inline,answer die, Answer. Die.,0.344,1.0
https://youdescribe.org/video/5ZYCmi-uNZ0?ad=620adaacddd6a209053b6750,/current/5ZYCmi-uNZ0,5ZYCmi-uNZ0_620adb07f5a44c090b4726f2.wav,8.789,199.958851,199.958851,extended,dr. Crow writes the word median in the center cell of the farthest right columndr. Crow writes the word median in the center cell of the farthest right column, Dr. Crow writes the word median in the center cell of the farthest right column.,0.374,0.976
https://youdescribe.org/video/5ZYCmi-uNZ0?ad=620adaacddd6a209053b6750,/current/5ZYCmi-uNZ0,5ZYCmi-uNZ0_620ae767f5a44c090b4726f7.wav,8.452,609.6671850686646,609.6671850686646,extended,the numerical data 143 and 102 are highlighted in bluethe numerical data 143 and 102 are highlighted in blue, The numerical data 143 and 102 are highlighted in blue.,0.375,0.9490000000000001
https://youdescribe.org/video/PW2ywQpyN64?ad=58e7cf2c46e13dfd851a2184,/legacy,1395433547582.wav,4.092,30.456,30.456,extended, Like rays here classic., La Grecia Classica,0.262,0.0
https://youdescribe.org/video/PW2ywQpyN64?ad=58e7cf2c46e13dfd851a2184,/legacy,1395433643901.wav,5.627000000000001,36.248000000000005,36.248000000000005,extended, Say everyone a floor. The people of sales happy., Se abre una flor de pétalos rosados.,0.163,0.0
https://youdescribe.org/video/PW2ywQpyN64?ad=58e7cf2c46e13dfd851a2184,/legacy,1395434432507.wav,10.23,65.985,65.985,extended, And holding a quill pen. A few good amar cleaner. They know that case that impulses you on the land. Certain legal case of DNA into my knowledge. Yeah., A young man sculpts a naked male figure who is about to launch an album that he holds in his right hand.,0.17300000000000001,0.043
https://youdescribe.org/video/5Q2zkeirxK4?ad=5f4d1988a74d36481bc991b2,/current/5Q2zkeirxK4,5Q2zkeirxK4_5f4d2a7fa74d36481bc991bf.wav,3.8080000000000003,287.51793100000003,287.51793100000003,extended,French Ellenberg policy maker," Fran Schellenberg, Policymaker",0.506,0.0
https://youdescribe.org/video/RIeswsGHT84?ad=58e7cf2b46e13dfd851a20d9,/legacy,RIeswsGHT84-88-1-0-30-0.wav,5.882000000000001,30.0,30.0,extended," For more Information, dial area 8584521111."," For more information, dial 858-452-1111.",0.725,0.45
https://youdescribe.org/video/QwievZ1Tx-8?ad=5b235b74a08cad73916be116,/current/QwievZ1Tx-8,QwievZ1Tx-8_5b235c80a08cad73916be126.wav,1.7919999999999998,112.00596506484986,113.79796506484985,inline, A vendors infinity., Avengers Infinity War,0.409,0.261
https://youdescribe.org/video/w_y8z7jiBmk?ad=5d1e5ba06e1ff55b95381a30,/current/w_y8z7jiBmk,w_y8z7jiBmk_5d1e5d996e1ff55b95381a32.wav,1.858,29.176575,31.034171371882085,inline, Oh I'm kalin.," Oh, I'm Kaylin.",0.469,0.336
https://youdescribe.org/video/7UdTXIFLw-4?ad=642e341f0bdc10001ec54b4b,/current/7UdTXIFLw-4,7UdTXIFLw-4_642e341f0bdc10001ec54b4d.wav,4.096,27.589638,27.589638,extended,on a cold bar text says Beaufort 21," On a gold bar, text says Buford212",0.636,0.45
https://youdescribe.org/video/7UdTXIFLw-4?ad=642e341f0bdc10001ec54b4b,/current/7UdTXIFLw-4,7UdTXIFLw-4_642e34650039af00246b638a.wav,2.56,68.762661,68.762661,extended,what's really into the wall water is beautiful," While drilling into the wall, water spewed out.",0.451,0.336
https://youdescribe.org/video/rnWikCDrrak?ad=6189c96e3b2e2707ed89e757,/current/rnWikCDrrak,rnWikCDrrak_6189cce5f1539c07e70d9979.wav,3.4989999999999997,44.390144,44.390144,extended,and another thing Mikey's Brothers protect them from leather," In another scene, Mikey's brothers protect him from Leatherhead.",0.648,0.38799999999999996
https://youdescribe.org/video/rnWikCDrrak?ad=6189c96e3b2e2707ed89e757,/current/rnWikCDrrak,rnWikCDrrak_6189ce76f1539c07e70d9981.wav,3.157,146.656781,146.656781,extended,in a difference in Mikey bumps into Ralph and Ralph tries to hit," In a different scene, Mikey bumps into Raph and Raph tries to hit Mikey.",0.715,0.45799999999999996
https://youdescribe.org/video/rnWikCDrrak?ad=6189c96e3b2e2707ed89e757,/current/rnWikCDrrak,rnWikCDrrak_6189ceb93b2e2707ed89e764.wav,1.8769999999999998,167.10612,167.10612,extended,in a different seen my keys bro," In a different scene, Mikey is bruised.",0.49200000000000005,0.20199999999999999
https://youdescribe.org/video/rnWikCDrrak?ad=6189c96e3b2e2707ed89e757,/current/rnWikCDrrak,rnWikCDrrak_6189cfb53b2e2707ed89e767.wav,2.475,237.905018,237.905018,extended,in a different scene raft gives my Kia crying," In a different scene, Raf gives Mikey a crown.",0.596,0.368
https://youdescribe.org/video/gyqodNhM3EU?ad=58e7cf2a46e13dfd851a2054,/legacy,gyqodNhM3EU-27-1-0-242-0.wav,4.859,242.0,242.0,extended," Previous answer being 3 million, 819816."," Previous answer being 3,819,816.",0.66,0.43200000000000005
https://youdescribe.org/video/JWvOxlsN_js?ad=62e7499eb3cd2509ff22c03a,/current/JWvOxlsN_js,JWvOxlsN_js_62e74a1573ff460a05c80315.wav,3.84,81.55825282070924,81.55825282070924,extended,then add some butter and now starts today, He then adds the butter and now starts to mix.,0.6940000000000001,0.392
https://youdescribe.org/video/JWvOxlsN_js?ad=62e7499eb3cd2509ff22c03a,/current/JWvOxlsN_js,JWvOxlsN_js_62e74a5eb3cd2509ff22c03f.wav,9.728,121.33123400000001,121.33123400000001,extended,because they're going to two large pieces of cases each piece into two different large civil word bowls, He cuts the dough into two large pieces. He places each piece into two different large silverware bowls.,0.6729999999999999,0.451
https://youdescribe.org/video/JWvOxlsN_js?ad=62e7499eb3cd2509ff22c03a,/current/JWvOxlsN_js,JWvOxlsN_js_62e74a73b3cd2509ff22c040.wav,7.4239999999999995,133.33277506866457,133.33277506866457,extended,it'll by the only two bricks off pieces from the bars though they raised a and then roll is dependent upon," Little by little, he rips off pieces from the barge door. He weighs them and then rolls them into balls.",0.52,0.201
https://youdescribe.org/video/JWvOxlsN_js?ad=62e7499eb3cd2509ff22c03a,/current/JWvOxlsN_js,JWvOxlsN_js_62e74a9173ff460a05c80317.wav,6.912000000000001,145.852987,145.852987,extended,leaving the ball still there around with both hands you slowly put it on white parchment paper," Kneading the balls till they're round with both hands, he slowly puts it on wide parchment paper.",0.738,0.349
https://youdescribe.org/video/JWvOxlsN_js?ad=62e7499eb3cd2509ff22c03a,/current/JWvOxlsN_js,JWvOxlsN_js_62e74adc73ff460a05c80318.wav,5.12,183.258015,183.258015,extended,what a black brush you slowly massages the brag about," With a black brush, he slowly massages the bread with butter.",0.601,0.321
https://youdescribe.org/video/JWvOxlsN_js?ad=62e7499eb3cd2509ff22c03a,/current/JWvOxlsN_js,JWvOxlsN_js_62e74d84b3cd2509ff22c04a.wav,9.728,444.193876,444.193876,extended,this ring and a little birth on the side then golden lute is now taken out of movie theater," Sizzling and a little burnt on the side, the golden meat is now taken out of me here.",0.6829999999999999,0.493
https://youdescribe.org/video/JWvOxlsN_js?ad=62e7499eb3cd2509ff22c03a,/current/JWvOxlsN_js,JWvOxlsN_js_62e74dae73ff460a05c8031f.wav,12.288,465.620568,465.620568,extended,you know cuts the golden brown you Auto doing cutting bed he cuts them into tiny like the blanket size pieces," He now cuts the golden brown meat on a green cutting board. He cuts the meat into tiny, lengthy, blanket-sized pieces.",0.605,0.445
https://youdescribe.org/video/JWvOxlsN_js?ad=62e7499eb3cd2509ff22c03a,/current/JWvOxlsN_js,JWvOxlsN_js_62e74de4b3cd2509ff22c04b.wav,3.84,501.7873309389648,501.7873309389648,extended,she seasons and add ads parsley to the tomato, few seasons and adds parsley to the tomatoes.,0.84,0.42100000000000004
https://youdescribe.org/video/W_vHsnseYiA?ad=5a08d9b5d675d917e6614cf0,/current/W_vHsnseYiA,W_vHsnseYiA_5a08e1c4d675d917e6614d0c.wav,5.461,98.256737,98.256737,extended, You daffy duck and sylvestre begin to discuss granting fancy.," Daffy, Duck, and Sylvester begin to discuss Granny's dancing.",0.561,0.466
https://youdescribe.org/video/W_vHsnseYiA?ad=5a08d9b5d675d917e6614cf0,/current/W_vHsnseYiA,W_vHsnseYiA_5a08e252d675d917e6614d0e.wav,2.133,119.48215420000001,121.61548753333334,inline, Sweetie things., Sweetie sings.,0.7490000000000001,0.336
https://youdescribe.org/video/LYqumn89Bjk?ad=60c6f4363b2e2707ed89a2bd,/current/LYqumn89Bjk,LYqumn89Bjk_60c6f89cf1539c07e70d5518.wav,3.84,180.534605,180.534605,extended,she learns how to draw right, He learns how to write.,0.5920000000000001,0.381
https://youdescribe.org/video/DF-P720VFYY?ad=61d5e608f5a44c090b470e6d,/current/DF-P720VFYY,DF-P720VFYY_61d61122ddd6a209053b4d74.wav,1.7919999999999998,55.40345500000001,55.40345500000001,extended,acne stains on the ground, Agnes faints on the ground.,0.605,0.43200000000000005
https://youdescribe.org/video/DF-P720VFYY?ad=61d5e608f5a44c090b470e6d,/current/DF-P720VFYY,DF-P720VFYY_61d61313f5a44c090b470ec8.wav,3.755,302.52099999999996,302.52099999999996,extended,Chinese gives a kiss to fill a still gives a unicorn toy to agni's, Agnes gives a kiss to Phil as Phil gives a unicorn toy to Agnes.,0.691,0.47200000000000003
https://youdescribe.org/video/i-Qc4oA23XQ?ad=58e7cf2d46e13dfd851a21dc,/legacy,14057104205591.wav,2.046,56.633,56.633,extended, Oh Don piano., Odon Piano,0.28800000000000003,0.261
https://youdescribe.org/video/rFxu7NEoKC8?ad=6359c78b934e8a1ea9f83a04,/current/rFxu7NEoKC8,rFxu7NEoKC8_636466c844d9f31eaf8e321c.wav,7.595,79.249081,79.249081,extended,Dr regularise anterior are Aguilera Superior and Irregulars posterior are," The auricularis anterior, auricularis superior, and auricularis posterior are highlighted.",0.461,0.29100000000000004
https://youdescribe.org/video/Zn_qirpdBag?ad=60abbdb73b2e2707ed899868,/current/Zn_qirpdBag,Zn_qirpdBag_60abbddff1539c07e70d4b2c.wav,2.987,23.702265895095824,26.688932561762492,inline,these nay, Disney,0.037000000000000005,0.0
https://youdescribe.org/video/Zn_qirpdBag?ad=60abbdb73b2e2707ed899868,/current/Zn_qirpdBag,Zn_qirpdBag_60abbfa43b2e2707ed89986b.wav,2.133,83.933981,86.06731433333334,inline,gazelle strum, Gazelle's drum,0.433,0.336
https://youdescribe.org/video/L_A_HjHZxfI?ad=5f42df51ad1475481dd01ecd,/current/L_A_HjHZxfI,L_A_HjHZxfI_5f42df51ad1475481dd01ecc.wav,22.57,23.27517210108948,45.84496801945683,inline,warm up neck to do neck warm up tilt your head forward until your chin goes down to your body and then tilt your head back so the chin goes up forward until your chin goes down to your body and then tilt your head back so the chin goes up," Warm up neck. To do neck warm up, tilt your head forward until your chin goes down to your body and then tilt your head back so the chin goes up.",0.49700000000000005,0.9790000000000001
https://youdescribe.org/video/4_YBELE4LpM?ad=639fce2448f15f34e2632571,/current/4_YBELE4LpM,4_YBELE4LpM_639fce5e29962a34dc065382.wav,5.5729999999999995,53.014609375,58.58739849064626,inline,in the same Bowl pour in 100 grams of cocoa powderin the same Bowl pour in 100 grams of cocoa powder," In the same bowl, pour in 100 grams of cocoa powder.",0.349,0.9620000000000001
